Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
1,EWY,,International,South Korea Equity,2.2679107127892357,1.2941015118326695,1.3363465677194406,0.3259954921111947,-0.1653345944667769,-0.01808167352842993,0.001532175689479054,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
2,FTXL,HB,Growth & Technology,Semiconductors,1.8458829360802715,1.1259993822463001,1.284108740004862,0.47843387231012824,-0.21444301833796575,-0.0692214669947041,0.010365743255477122,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
3,PSI,HB,Growth & Technology,Semiconductors,1.5839122772104148,0.9152529058045467,1.2791479788237181,0.3552072137207618,-0.2677019207122723,-0.15966276713940253,-0.0010876320696083797,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
4,AIS,HB,Growth & Technology,AI Infrastructure,1.9246364037020713,1.0036231884057973,1.2032004830917877,0.460708782742681,-0.18356299212598426,-0.09058517198848837,0.001509206157561005,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
5,SOXX,,Growth & Technology,Semiconductors,1.5777439503401705,0.960482608186801,1.1631529261264486,0.47824163278448717,-0.20622165645636092,-0.09369208967697384,0.0029151588258946592,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
6,SOXQ,HB,Growth & Technology,Semiconductors,1.5256258702682919,0.869218363814424,1.0761068509002474,0.43565778959702106,-0.2063080309986408,-0.09965213832617148,0.0037641154328733606,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
7,SMH,HB,Growth & Technology,Semiconductors,1.476870068213974,0.7869242981088218,0.9375953974549958,0.37619313566206336,-0.16224694792149597,-0.07776189990133042,0.0011265004616805019,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
8,EWT,HB,International,Taiwan Equity,1.2480493266846446,0.7757550189195963,0.7824138921507562,0.48091073163959464,0.0028203440819780656,-0.0037358737274679754,-0.005036843578024364,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
9,BDRY,HB,Transportation & Trade,Dry Bulk Freight Futures,1.2379562043795622,0.8925925925925926,0.7641975308641975,0.436738519212746,0.2785654712260217,0.0727781665500351,0.0019607843137254832,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d up."
10,XBI,,Defensive Equity,Biotech,0.8001279897521867,0.6440181058535195,0.6800940728585503,0.24429988753166665,0.13036067012638264,-0.021472587510323327,-0.022652284263959377,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
11,OIH,HB,Natural Resources,Oil Services,0.6991459822326365,0.6250779118671297,0.663857686585934,0.10451727192205484,-0.009173649234325398,-0.023307146417297586,0.023503954633636637,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
12,COPX,HB,Natural Resources,Copper Miners,1.1733419649467396,0.6267345151463237,0.6480807181468253,0.07904221055870986,-0.05492199145075416,-0.0129521586931155,-0.012029899556178503,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
13,EPU,HB,International,Peru Equity,1.2050298731591602,0.5639927529822188,0.5669963540667984,0.10460749016180482,0.011310407860162242,-0.0019167888149734802,-0.0021418103934167654,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
14,SLV,,Natural Resources,Silver Bullion,0.8715029277813924,0.5005216484089723,0.525299947835159,-0.2142857142857143,-0.09358752166377815,-0.016244870041039583,0.01213933849401827,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
15,LIT,HB,Natural Resources,Lithium & Battery,0.7757122026062571,0.4099568988580673,0.5148680020150302,-0.01813744015236729,-0.1636418443583072,-0.06925428685364887,0.0007145919679862889,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
16,BOAT,HB,Transportation & Trade,Global Shipping,1.1800193637360494,0.7042107898800034,0.5110907825421778,0.37679491326385595,0.26308373363913584,0.127801724137931,-0.000763796066450273,ACCELERATING,Positive trend strengthening through 1m; 1d down.
17,PICK,HB,Natural Resources,Global Metals & Mining,0.7583325677482149,0.485539178702469,0.5002905851652479,0.09638756447023389,-0.0666970525676085,-0.00983236621534489,-0.003406878650227152,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
18,QTEC,HB,Growth & Technology,Technology,0.7376882119739261,0.39418855573526046,0.4991462313324342,0.35980646837996777,-0.09155131790081217,-0.07001163289046719,-0.008324084350721295,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
19,VDE,HB,Natural Resources,Energy,0.604604204694978,0.5317981056753205,0.4415952432485586,0.15154103336835378,0.19199211884371548,0.06257155942294479,0.022250371757448928,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d up."
20,XLE,,Natural Resources,Energy,0.5845822229758721,0.5346354655914249,0.4410629709504794,0.1543927867008672,0.19541799124587111,0.06493296721046704,0.021695335502867064,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d up."
21,DXJ,HB,International,Japan Hedged Equity,0.6612023367155975,0.38810987230685656,0.43075690527407495,0.1244641852288284,0.022727944457890503,-0.02980732283032317,-0.0025396467069247475,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
22,XOP,HB,Natural Resources,Oil & Gas E&P,0.685167641688023,0.5702757853143636,0.4192242187851254,0.20383175804881581,0.26723156222986666,0.10643248933458915,0.032201374890163725,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d up."
23,XLK,,Growth & Technology,Technology,0.7849871435366675,0.3637348253005288,0.4102713298974281,0.32719266406833336,-0.04083068599716444,-0.03299826324930255,-0.0029303234208811757,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
24,IBB,HB,Defensive Equity,Biotechnology,0.5224147844520923,0.43647401571954525,0.40987791265622286,0.2096205116702312,0.17325898820932806,0.01886411782507813,-0.012707722385141729,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
25,QCLN,HB,Growth & Technology,Clean Energy,0.646401961855559,0.22926250714197316,0.3915491233635138,-0.0017590624194253612,-0.25708438287153657,-0.11662298764507684,-0.007570977917981114,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
26,DBC,,Inflation & Real Assets,Broad Commodity Futures,0.5932967334732648,0.5576525873593543,0.38745776783790475,0.18968562345460982,0.19347980155917788,0.1226666666666667,0.0159879336349924,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d up."
27,DRIV,HB,Growth & Technology,Autonomous & Electric Vehicles,0.518618740729053,0.26947497216603455,0.3799471994939432,0.08392382309725166,-0.18159217515602477,-0.08005540166204983,-0.005390835579514808,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
28,SIL,,Natural Resources,Silver Miners,1.3965410773699678,0.42501623160686974,0.3764448661459949,-0.024504979937802096,0.06771546836705511,0.035287548855388096,-0.006004074193202591,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d down.
29,XME,HB,Natural Resources,Metals & Mining,0.9661400355484966,0.28362798515844445,0.3739417231493074,-0.008121497954803658,-0.09214229930215845,-0.06573331056855047,-0.006626123264046546,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
30,FTEC,HB,Growth & Technology,Technology,0.7587792843333834,0.3295762997217042,0.3718818529300072,0.314387625599188,-0.015904719878466422,-0.030837606837606724,-0.0033750527351988913,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
31,VGT,,Growth & Technology,Technology,0.7507488199016839,0.3264408482386991,0.3685376745528659,0.31378328877166406,-0.014897697193448245,-0.030760443864229714,-0.003188721993790389,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
32,IYW,HB,Growth & Technology,Technology,0.7696602310658807,0.32708628530961925,0.3558483121265503,0.31798501082818187,-0.015316769697208299,-0.02121330724070447,-0.004062126642771724,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
33,AIRR,,Industrials,U.S. Industrial Renaissance,0.5668584300082449,0.1358407694852648,0.34884470245870336,-0.04901799447478494,-0.19421646084221833,-0.15791583166332668,0.0025768276388622446,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
34,XAR,HB,Industrials,Aerospace & Defense,0.5303138969466974,0.09505614218525826,0.34532359984528505,-0.1076053334936915,-0.14571700279983724,-0.18602770195126883,-0.005353539513239802,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
35,CALF,HB,Broad Equity & Factors,Small Cap Cash Flow,0.5766481518575912,0.31893288767492556,0.32057989070902204,0.28162973180374373,0.13349888666193244,-0.0012471816704796579,0.0005294740557713062,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
36,ROBO,HB,Growth & Technology,Robotics,0.44566150307150476,0.19620964576720268,0.3135852977402176,0.08634509914217414,-0.0934162656965144,-0.0893551809501355,-0.0012928248222364713,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
37,SCHA,,Broad Equity & Factors,Small Cap Blend,0.4564779565009718,0.21101935180637965,0.30234811136945505,0.14669840168833548,-0.055260155039354664,-0.07012622720897621,-0.0077821011673151474,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
38,SCHD,,Broad Equity & Factors,Dividend,0.3288578111985523,0.29515025747672685,0.3023182897785208,0.13042150930919738,0.06047847652738181,-0.0055040556199306145,-0.0002912055911474809,CORRECTION,Established trend; positive 3m but negative 1m; 1d down.
39,ARKQ,HB,Growth & Technology,Autonomy & Robotics,0.8134949328362076,0.18367671010606612,0.29751665599604826,-0.002515723270440251,-0.11686093993614965,-0.08773678963110654,-0.005434782608695565,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
40,IWM,,Broad Equity & Factors,Small Cap Blend,0.4616179170202712,0.20878397426905693,0.2933573076725349,0.15027519739251405,-0.03224273689926693,-0.06539054049624693,-0.009621062137473602,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
41,ARGT,HB,International,Argentina Equity,0.17356068484387266,0.3390353341258452,0.2890163422796628,0.10731771171035254,-0.03350896207547893,0.03880400131911621,-0.009952854897852359,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d down.
